B;S;H0;H;Q;W;R;dB
2,00;2,00;2,12;2,50;130,00;1,78;57,33;120,00
2,50;2,50;2,77;5,00;264,00;10,50;46,84;121,70
3,00;2,50;3,23;6,00;172,00;13,00;61,21;119,60
2,50;3,00;3,27;5,50;600,00;10,50;147,22;119,70
3,00;3,00;2,98;5,00;126,60;9,50;133,18;119,70
2,50;2,50;2,83;4,00;55,00;5,50;67,32;119,70
2,00;2,50;1,96;4,20;352,65;10,55;55,02;119,60
2,50;3,00;3,01;6,00;477,00;14,05;173,78;119,20
2,50;3,00;3,33;6,00;251,00;12,55;146,94;119,60
2,50;3,00;2,83;7,30;1060,00;21,00;178,82;119,40
3,00;2,50;3,23;6,00;300,00;13,00;169,49;119,40
2,50;2,50;3,80;5,50;200,00;8,00;83,80;119,70
3,50;2,50;2,20;5,50;356,00;15,50;106,91;119,30
2,50;3,00;1,76;4,00;456,40;10,55;114,04;119,30
3,00;2,50;3,23;6,00;172,00;13,00;30,21;127,90
2,50;3,00;3,07;5,30;682,00;10,50;173,75;119,30
3,00;3,00;2,98;5,00;126,60;9,50;106,12;119,30
2,50;3,00;4,33;7,00;96,50;12,55;143,91;119,30
2,00;2,00;2,41;2,80;86,00;1,85;90,95;119,30
2,00;2,00;2,41;2,80;86,00;1,85;106,21;119,30
3,00;3,00;3,02;6,00;91,00;14,00;100,17;119,20
2,50;2,50;3,02;6,00;315,50;14,00;61,12;119,20
2,50;3,00;2,83;5,50;276,00;12,55;141,31;119,20
2,50;2,50;3,80;5,50;200,00;8,00;97,35;119,20
3,00;3,00;3,40;5,00;37,50;7,50;130,61;119,20
2,50;2,50;2,20;5,50;959,00;15,50;166,47;119,10
3,00;3,00;3,02;6,00;91,00;14,00;145,87;119,10
2,50;3,00;3,16;5,50;682,00;11,00;13,60;128,00
2,50;2,50;3,26;5,30;145,00;9,60;74,79;119,10
2,50;2,50;2,45;5,75;784,00;15,50;111,38;119,00
2,50;3,00;3,26;5,50;85,00;10,55;138,70;119,00
2,50;2,50;3,02;6,00;315,50;14,00;71,36;119,00
2,50;3,00;3,10;6,00;354,00;13,62;51,93;122,90
2,50;3,00;3,26;5,50;75,00;10,55;40,94;128,30
2,50;3,00;3,07;5,30;682,00;10,50;129,52;119,00
3,00;2,50;3,18;6,00;164,00;13,25;111,87;118,70
2,50;3,00;3,29;5,00;19,70;8,05;145,46;119,10
2,00;2,50;2,43;3,60;27,50;5,50;74,10;118,80
3,00;3,00;2,84;5,50;450,00;12,50;184,45;118,80
2,50;3,00;3,26;5,50;320,50;10,55;121,47;118,80
